Architecture,Total Failures,Retrieval Failure %,Retrieval Failure Count,Reasoning Failure %,Reasoning Failure Count,Crashes
Baseline (4o-mini),624,66.66666666666666,416,33.33333333333333,208,0
Baseline (4o),574,67.59581881533101,388,32.40418118466899,186,0
ReAct,586,64.50511945392492,378,31.91126279863481,187,21
Supervisor,577,49.04679376083189,283,37.43500866551127,216,78
Plan-Execute,744,72.04301075268818,536,27.284946236559136,203,5
Self-Correcting,541,45.65619223659889,247,41.95933456561922,227,67
Network,538,53.159851301115246,286,43.12267657992565,232,20
Hybrid (T=0.6),589,61.62988115449915,363,38.37011884550085,226,0
